id,Name,Author,User Rating,Reviews,Price,Year,Genre,gb_categories,gb_avgRating,gb_ratingsCount,gb_publisher,gb_publishedDate,gb_pageCount,gb_language
168,How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2015,Non Fiction,Self-Help,,,e-artnow,2017-10-16,251.0,en
169,How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2016,Non Fiction,Self-Help,,,e-artnow,2017-10-16,251.0,en
170,How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2017,Non Fiction,Self-Help,,,e-artnow,2017-10-16,251.0,en
171,How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2018,Non Fiction,Self-Help,,,e-artnow,2017-10-16,251.0,en
172,Howard Stern Comes Again,Howard Stern,4.3,5272,16,2019,Non Fiction,Biography & Autobiography,1.0,2.0,Simon and Schuster,2019-05-14,560.0,en
173,Humans of New York,Brandon Stanton,4.8,3490,15,2013,Non Fiction,Photography,,,St. Martin's Press,2013-10-15,308.0,en
174,Humans of New York,Brandon Stanton,4.8,3490,15,2014,Non Fiction,Photography,,,St. Martin's Press,2013-10-15,308.0,en
175,Humans of New York : Stories,Brandon Stanton,4.9,2812,17,2015,Non Fiction,Photography,5.0,1.0,Pan Macmillan,2015-10-13,433.0,en
176,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,4.7,4896,17,2013,Non Fiction,Art,5.0,2.0,Simon and Schuster,2013-10-29,384.0,en
177,"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,4.8,9737,7,2019,Non Fiction,,,,,2020-12-29,52.0,en
178,"I, Alex Cross",James Patterson,4.6,1320,7,2009,Fiction,Fiction,,,Vision,2010-10-01,400.0,en
179,If Animals Kissed Good Night,Ann Whitford Paul,4.8,16643,4,2017,Fiction,Juvenile Fiction,,,"Farrar, Straus & Giroux (BYR)",2022-09-13,0.0,en
180,If Animals Kissed Good Night,Ann Whitford Paul,4.8,16643,4,2019,Fiction,Juvenile Fiction,,,"Farrar, Straus & Giroux (BYR)",2022-09-13,0.0,en
181,If I Stay,Gayle Forman,4.3,7153,9,2014,Fiction,Young Adult Fiction,4.0,44.0,Penguin,2009-04-02,207.0,en
182,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,4.4,4571,21,2011,Non Fiction,Political Science,,,Idreambooks,2016-04-04,28.0,en
183,Inferno,Dan Brown,4.1,29651,14,2013,Fiction,Fiction,,,MEHTA PUBLISHING HOUSE,2016-09-30,11.0,mr
184,Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,4.6,5299,20,2011,Fiction,,,,,2004,0.0,fr
185,Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,4.4,7396,13,2019,Non Fiction,,,,,,,
186,Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,4.4,7396,13,2018,Non Fiction,,,,,,,
187,It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Lysa TerKeurst,4.8,7062,12,2019,Non Fiction,Religion,,,Harperchristian Resources,2018-11-20,0.0,en
188,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2011,Non Fiction,,,,,,,
189,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2012,Non Fiction,,,,,,,
190,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2013,Non Fiction,,,,,,,
191,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2014,Non Fiction,,,,,,,
192,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2015,Non Fiction,,,,,,,
193,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2016,Non Fiction,,,,,,,
194,JOURNEY TO THE ICE P,RH Disney,4.6,978,0,2014,Fiction,,,,,,,
195,Joyland (Hard Case Crime),Stephen King,4.5,4748,12,2013,Fiction,,,,,,,
196,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.6,8393,17,2017,Non Fiction,True Crime,4.5,5.0,Vintage,2017-04-18,353.0,en
197,Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,4.5,11391,12,2013,Non Fiction,,,,,,,
198,Killing Kennedy: The End of Camelot,Bill O'Reilly,4.6,8634,25,2012,Non Fiction,Political crimes and offenses,,,MacMillan,2012-10,325.0,en
199,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342,10,2011,Non Fiction,,,,,,,
200,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342,10,2012,Non Fiction,,,,,,,
201,Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,10927,6,2014,Non Fiction,,,,,,,
202,Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,5235,5,2015,Non Fiction,,,,,,,
203,Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,4.8,8916,6,2016,Non Fiction,,,,,,,
204,Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,4.8,2507,8,2018,Non Fiction,,,,,,,
205,Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2013,Non Fiction,Juvenile Nonfiction,5.0,2.0,Baker Books,2013-06-15,127.0,en
206,Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2014,Non Fiction,Juvenile Nonfiction,5.0,2.0,Baker Books,2013-06-15,127.0,en
207,Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2015,Non Fiction,Juvenile Nonfiction,5.0,2.0,Baker Books,2013-06-15,127.0,en
208,"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrens Book)",Jill Twiss,4.9,11881,13,2018,Fiction,,,,,,,
209,Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2013,Non Fiction,Juvenile Nonfiction,,,Revell,2014-06-10,154.0,en
210,Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2014,Non Fiction,Juvenile Nonfiction,,,Revell,2014-06-10,154.0,en
211,Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2015,Non Fiction,Juvenile Nonfiction,,,Revell,2014-06-10,154.0,en
212,Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2016,Non Fiction,Juvenile Nonfiction,,,Revell,2014-06-10,154.0,en
213,Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2017,Non Fiction,Juvenile Nonfiction,,,Revell,2014-06-10,154.0,en
214,"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,4.5,6132,13,2013,Non Fiction,Biography & Autobiography,4.0,1.0,Vintage Books,2015-08,0.0,en
215,Leonardo da Vinci,Walter Isaacson,4.5,3014,21,2017,Non Fiction,Art,4.5,2.0,Simon and Schuster,2017-10-17,624.0,en
216,Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,4.4,7550,6,2018,Non Fiction,,,,,2017-10-27,112.0,en
217,Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,4.8,3828,15,2009,Non Fiction,Political Science,4.0,15.0,Simon and Schuster,2009-03-24,259.0,en
218,Life,Keith Richards,4.5,2752,18,2010,Non Fiction,Rock musicians,,,Phoenix,2012,630.0,en
219,Little Bee: A Novel,Chris Cleave,4.1,1467,10,2010,Fiction,Fiction,1.0,1.0,Simon and Schuster,2009-02-10,304.0,en
220,Little Blue Truck,Alice Schertle,4.9,1884,0,2014,Fiction,Juvenile Nonfiction,5.0,1.0,Houghton Mifflin Harcourt,2009,33.0,en
221,Little Fires Everywhere,Celeste Ng,4.5,25706,12,2018,Fiction,Fiction,,,Penguin,2017-09-12,354.0,en
222,Looking for Alaska,John Green,4.5,8491,7,2014,Fiction,Young Adult Fiction,4.5,84.0,Penguin,2008-08-14,268.0,en
223,"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,4.2,1649,13,2011,Non Fiction,Religion,,,Harper Collins,2011-11-15,307.0,en
224,Love You Forever,Robert Munsch,4.8,18613,5,2014,Fiction,Juvenile Nonfiction,4.5,43.0,Firefly Books,2003,36.0,en
225,Love You Forever,Robert Munsch,4.8,18613,5,2015,Fiction,Juvenile Nonfiction,4.5,43.0,Firefly Books,2003,36.0,en
226,Magnolia Table: A Collection of Recipes for Gathering,Joanna Gaines,4.8,9867,16,2018,Non Fiction,Cooking,5.0,1.0,HarperCollins,2018-04-24,537.0,en
227,Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,4.5,1386,20,2014,Non Fiction,Cooking,,,Clarkson Potter,2014-10-28,274.0,en
228,Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,4.7,10199,11,2017,Non Fiction,Business & Economics,,,Summareads Media LLC,2020-01-30,52.0,en
229,"Mastering the Art of French Cooking, Vol. 2",Julia Child,4.8,2926,27,2009,Non Fiction,Cooking,5.0,6.0,Knopf,2011-10-05,858.0,en
230,Milk and Honey,Rupi Kaur,4.7,17739,8,2016,Non Fiction,"Body, Mind & Spirit",5.0,1.0,,2018-08-28,226.0,en
231,Milk and Honey,Rupi Kaur,4.7,17739,8,2017,Non Fiction,"Body, Mind & Spirit",5.0,1.0,,2018-08-28,226.0,en
232,Milk and Honey,Rupi Kaur,4.7,17739,8,2018,Non Fiction,"Body, Mind & Spirit",5.0,1.0,,2018-08-28,226.0,en
233,Milk and Vine: Inspirational Quotes From Classic Vines,Adam Gasiewski,4.4,3113,6,2017,Non Fiction,Humor,3.0,2.0,Independently Published,2017-10-22,78.0,en
234,Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,10,2014,Non Fiction,Psychology,4.5,11.0,Random House,2006-02-28,290.0,en
235,Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,10,2015,Non Fiction,Psychology,4.5,11.0,Random House,2006-02-28,290.0,en
236,Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,10,2016,Non Fiction,Psychology,4.5,11.0,Random House,2006-02-28,290.0,en
237,Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2010,Fiction,Juvenile Fiction,,,Scholastic Paperbacks,2014-09-30,390.0,en
238,Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2011,Fiction,Juvenile Fiction,,,Scholastic Paperbacks,2014-09-30,390.0,en
239,Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2012,Fiction,Juvenile Fiction,,,Scholastic Paperbacks,2014-09-30,390.0,en
240,"National Geographic Kids Why?: Over 1,111 Answers to Everything",Crispin Boyer,4.8,5347,16,2019,Non Fiction,Juvenile Nonfiction,,,National Geographic Books,2015,228.0,en
241,National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields,4.8,7866,11,2019,Non Fiction,Juvenile Nonfiction,,,Random House,2011-05-10,0.0,en
242,New Moon (The Twilight Saga),Stephenie Meyer,4.6,5680,10,2009,Fiction,Juvenile Fiction,4.0,30.0,Hachette UK,2009-02-26,397.0,en
243,Night (Night),Elie Wiesel,4.7,5178,9,2016,Non Fiction,,,,Createspace Independent Publishing Platform,2017-07-04,234.0,en
244,No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,4.6,8093,14,2012,Non Fiction,Biography & Autobiography,4.0,416.0,Penguin,2012-09-04,334.0,en
245,Obama: An Intimate Portrait,Pete Souza,4.9,3192,22,2017,Non Fiction,Photography,,,Hachette UK,2017-11-07,699.0,en
246,"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2012,Fiction,Juvenile Fiction,2.0,3.0,RH Childrens Books,2013-09-24,29.0,en
247,"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2013,Fiction,Juvenile Fiction,2.0,3.0,RH Childrens Books,2013-09-24,29.0,en
248,"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2014,Fiction,Juvenile Fiction,2.0,3.0,RH Childrens Books,2013-09-24,29.0,en
249,"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2015,Fiction,Juvenile Fiction,2.0,3.0,RH Childrens Books,2013-09-24,29.0,en
250,"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2016,Fiction,Juvenile Fiction,2.0,3.0,RH Childrens Books,2013-09-24,29.0,en
251,"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2017,Fiction,Juvenile Fiction,2.0,3.0,RH Childrens Books,2013-09-24,29.0,en
252,"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2018,Fiction,Juvenile Fiction,2.0,3.0,RH Childrens Books,2013-09-24,29.0,en
253,"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2019,Fiction,Juvenile Fiction,2.0,3.0,RH Childrens Books,2013-09-24,29.0,en
254,Old School (Diary of a Wimpy Kid #10),Jeff Kinney,4.8,6169,7,2015,Fiction,Juvenile Fiction,5.0,1.0,Amulet Books,2015-11-03,224.0,en
255,Olive Kitteridge,Elizabeth Strout,4.2,4519,12,2009,Fiction,Fiction,4.0,13.0,Random House,2008-03-25,290.0,en
256,One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,3163,13,2011,Non Fiction,Religion,5.0,3.0,Thomas Nelson,2011-01-04,244.0,en
257,One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,3163,13,2012,Non Fiction,Religion,5.0,3.0,Thomas Nelson,2011-01-04,244.0,en
258,"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,4.5,1831,9,2017,Non Fiction,Biography & Autobiography,,,Knopf,2017-04-24,241.0,en
259,Origin: A Novel (Robert Langdon),Dan Brown,4.3,18904,13,2017,Fiction,,,,,,,
260,Orphan Train,Christina Baker Kline,4.6,21930,11,2014,Fiction,Fiction,,,HarperLuxe,2019-01-08,432.0,en
261,Outliers: The Story of Success,Malcolm Gladwell,4.6,10426,20,2009,Non Fiction,Business & Economics,4.0,1.0,Hachette UK,2008-11-18,169.0,en
262,Outliers: The Story of Success,Malcolm Gladwell,4.6,10426,20,2010,Non Fiction,Business & Economics,4.0,1.0,Hachette UK,2008-11-18,169.0,en
263,P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,10820,5,2018,Non Fiction,Juvenile Fiction,,,National Geographic Books,2014-07-22,0.0,en
264,P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,10820,5,2019,Non Fiction,Juvenile Fiction,,,National Geographic Books,2014-07-22,0.0,en
265,Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,4.8,548,2,2010,Fiction,,,,,,,
266,Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,16990,27,2017,Fiction,Games & Activities,,,Wizards of the Coast,2014-08-19,0.0,en
267,Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,16990,27,2018,Fiction,Games & Activities,,,Wizards of the Coast,2014-08-19,0.0,en
268,Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,16990,27,2019,Fiction,Games & Activities,,,Wizards of the Coast,2014-08-19,0.0,en
269,Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon,Scholastic,4.7,3503,9,2016,Fiction,Nintendo video games,,,,2015,432.0,en
270,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,13616,10,2012,Non Fiction,"Body, Mind & Spirit",5.0,3.0,Hachette UK,2012-10-23,152.0,en
271,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,13616,10,2013,Non Fiction,"Body, Mind & Spirit",5.0,3.0,Hachette UK,2012-10-23,152.0,en
272,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2009,Non Fiction,,,,,2015-07-26,296.0,en
273,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2010,Non Fiction,,,,,2015-07-26,296.0,en
274,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2011,Non Fiction,,,,,2015-07-26,296.0,en
275,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2012,Non Fiction,,,,,2015-07-26,296.0,en
276,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2013,Non Fiction,,,,,2015-07-26,296.0,en
277,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2014,Non Fiction,,,,,2015-07-26,296.0,en
278,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2015,Non Fiction,,,,,2015-07-26,296.0,en
279,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2016,Non Fiction,,,,,2015-07-26,296.0,en
280,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2017,Non Fiction,,,,,2015-07-26,296.0,en
281,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2018,Non Fiction,,,,,2015-07-26,296.0,en
282,Puppy Birthday to You! (Paw Patrol) (Little Golden Book),Golden Books,4.8,4757,4,2017,Fiction,Juvenile Fiction,,,Golden Books,2022-02-08,0.0,en
283,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.6,10009,20,2012,Non Fiction,Psychology,,,Turtleback Books,2013,0.0,en
284,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.6,10009,7,2013,Non Fiction,Psychology,,,Turtleback Books,2013,0.0,en
285,Radical: Taking Back Your Faith from the American Dream,David Platt,4.7,1985,9,2010,Non Fiction,Religion,4.0,14.0,Multnomah,2010-05-04,242.0,en
286,Radical: Taking Back Your Faith from the American Dream,David Platt,4.7,1985,9,2011,Non Fiction,Religion,4.0,14.0,Multnomah,2010-05-04,242.0,en
287,Ready Player One: A Novel,Ernest Cline,4.6,22536,12,2017,Fiction,Fiction,5.0,2.0,Broadway Books,2018-01-30,0.0,en
288,Ready Player One: A Novel,Ernest Cline,4.6,22536,12,2018,Fiction,Fiction,5.0,2.0,Broadway Books,2018-01-30,0.0,en
289,Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Rush Limbaugh,4.9,7150,12,2013,Fiction,,,,,,,
290,Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2),Rush Limbaugh,4.9,3836,12,2014,Fiction,,,,,,,
291,"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,4.8,7802,20,2018,Non Fiction,Cooking,,,Canongate Books,2017-08-29,524.0,en
292,"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,4.8,7802,20,2019,Non Fiction,Cooking,,,Canongate Books,2017-08-29,524.0,en
293,Sarah's Key,Tatiana de Rosnay,4.6,3619,10,2010,Fiction,Fiction,5.0,1.0,Hachette UK,2008-02-07,256.0,en
294,"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",School Zone,4.8,23047,6,2018,Non Fiction,,,,,,,
295,"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",School Zone,4.8,23047,6,2019,Non Fiction,,,,,,,
296,"Secret Garden: An Inky Treasure Hunt and Coloring Book (For Adults, mindfulness coloring)",Johanna Basford,4.7,9366,9,2015,Non Fiction,Games & Activities,5.0,1.0,Laurence King Publishing,2013-03-26,0.0,en
297,Sh*t My Dad Says,Justin Halpern,4.7,1265,11,2010,Non Fiction,Humor,4.0,1.0,Harper Collins,2010-05-04,180.0,en
298,Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,Tucker Carlson,4.8,3923,16,2018,Non Fiction,,,,,2019,94.0,en
299,Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,Ian K. Smith M.D.,4.1,2272,6,2013,Non Fiction,Health & Fitness,,,St. Martin's Paperbacks,2015-12-29,0.0,en
300,Sookie Stackhouse,Charlaine Harris,4.7,973,25,2009,Fiction,Fiction,,,Penguin,2009-10-06,118.0,en
301,"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual…",Zhi Gang Sha,4.6,220,17,2013,Non Fiction,,,,,,,
302,Steve Jobs,Walter Isaacson,4.6,7827,20,2011,Non Fiction,Biography & Autobiography,3.5,5.0,Simon and Schuster,2011,656.0,en
303,Steve Jobs,Walter Isaacson,4.6,7827,20,2012,Non Fiction,Biography & Autobiography,3.5,5.0,Simon and Schuster,2011,656.0,en
304,Strange Planet (Strange Planet Series),Nathan W. Pyle,4.9,9382,6,2019,Fiction,,,,,,,
305,StrengthsFinder 2.0,Gallup,4.0,5069,17,2009,Non Fiction,Business & Economics,,,Campus Verlag,2022-07-20,131.0,de
306,StrengthsFinder 2.0,Gallup,4.0,5069,17,2010,Non Fiction,Business & Economics,,,Campus Verlag,2022-07-20,131.0,de
307,StrengthsFinder 2.0,Gallup,4.0,5069,17,2011,Non Fiction,Business & Economics,,,Campus Verlag,2022-07-20,131.0,de
308,StrengthsFinder 2.0,Gallup,4.0,5069,17,2012,Non Fiction,Business & Economics,,,Campus Verlag,2022-07-20,131.0,de
309,StrengthsFinder 2.0,Gallup,4.0,5069,17,2013,Non Fiction,Business & Economics,,,Campus Verlag,2022-07-20,131.0,de
310,StrengthsFinder 2.0,Gallup,4.0,5069,17,2014,Non Fiction,Business & Economics,,,Campus Verlag,2022-07-20,131.0,de
311,StrengthsFinder 2.0,Gallup,4.0,5069,17,2015,Non Fiction,Business & Economics,,,Campus Verlag,2022-07-20,131.0,de
312,StrengthsFinder 2.0,Gallup,4.0,5069,17,2016,Non Fiction,Business & Economics,,,Campus Verlag,2022-07-20,131.0,de
313,StrengthsFinder 2.0,Gallup,4.0,5069,17,2017,Non Fiction,Business & Economics,,,Campus Verlag,2022-07-20,131.0,de
314,"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,4.5,1583,18,2009,Non Fiction,History,,,Harper Collins,2009-10-20,288.0,en
315,Switch: How to Change Things When Change Is Hard,Chip Heath,4.6,1907,13,2010,Non Fiction,Business & Economics,5.0,8.0,Crown Currency,2010-02-16,322.0,en
316,Sycamore Row (Jake Brigance),John Grisham,4.5,23114,18,2013,Fiction,Fiction,,,Hodder Paperbacks,2025-06-05,0.0,en
317,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.4,637,20,2010,Non Fiction,Education,5.0,2.0,John Wiley & Sons,2010-03-04,128.0,en
318,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.4,637,20,2011,Non Fiction,Education,5.0,2.0,John Wiley & Sons,2010-03-04,128.0,en
319,The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,4.3,2314,22,2011,Non Fiction,Reducing diets,3.0,1.0,Simon & Schuster Limited,2011,256.0,en
320,"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss,4.3,4587,21,2011,Non Fiction,Health & Fitness,4.0,1.0,Random House of Canada,2010,571.0,en
321,The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,3477,28,2010,Non Fiction,Family & Relationships,4.5,4.0,Moody Publishers,2024-06-01,183.0,en
322,The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,3477,28,2011,Non Fiction,Family & Relationships,4.5,4.0,Moody Publishers,2024-06-01,183.0,en
323,The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,3477,28,2012,Non Fiction,Family & Relationships,4.5,4.0,Moody Publishers,2024-06-01,183.0,en
324,The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,3477,28,2013,Non Fiction,Family & Relationships,4.5,4.0,Moody Publishers,2024-06-01,183.0,en
325,The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,3477,28,2014,Non Fiction,Family & Relationships,4.5,4.0,Moody Publishers,2024-06-01,183.0,en
326,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,25554,8,2015,Non Fiction,Family & Relationships,4.5,4.0,Moody Publishers,2024-06-01,183.0,en
327,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,25554,8,2016,Non Fiction,Family & Relationships,4.5,4.0,Moody Publishers,2024-06-01,183.0,en
328,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,25554,8,2017,Non Fiction,Family & Relationships,4.5,4.0,Moody Publishers,2024-06-01,183.0,en
329,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,25554,8,2018,Non Fiction,Family & Relationships,4.5,4.0,Moody Publishers,2024-06-01,183.0,en
330,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,25554,8,2019,Non Fiction,Family & Relationships,4.5,4.0,Moody Publishers,2024-06-01,183.0,en
331,The 5000 Year Leap,W. Cleon Skousen,4.8,1680,12,2009,Non Fiction,,,,,2011,337.0,en
332,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,9325,24,2009,Non Fiction,Character,4.5,23.0,Simon and Schuster,2004,392.0,en
333,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,9325,24,2011,Non Fiction,Character,4.5,23.0,Simon and Schuster,2004,392.0,en
334,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,9325,24,2012,Non Fiction,Character,4.5,23.0,Simon and Schuster,2004,392.0,en
335,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,9325,24,2013,Non Fiction,Character,4.5,23.0,Simon and Schuster,2004,392.0,en
336,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.7,4725,16,2015,Non Fiction,Character,4.5,23.0,Simon and Schuster,2004,392.0,en
337,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.7,4725,16,2016,Non Fiction,Character,4.5,23.0,Simon and Schuster,2004,392.0,en
338,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.7,4725,16,2017,Non Fiction,Character,4.5,23.0,Simon and Schuster,2004,392.0,en
339,The Alchemist,Paulo Coelho,4.7,35799,39,2014,Fiction,Business & Economics,4.5,188.0,Harper Collins,2009-10-13,196.0,en
340,The Amateur,Edward Klein,4.6,2580,9,2012,Non Fiction,Political Science,,,Simon and Schuster,2012-05-14,290.0,en
341,The Art of Racing in the Rain: A Novel,Garth Stein,4.7,11813,10,2010,Fiction,Biography & Autobiography,,,HarperCollins UK,2009,23.0,en
342,The Art of Racing in the Rain: A Novel,Garth Stein,4.7,11813,10,2011,Fiction,Biography & Autobiography,,,HarperCollins UK,2009,23.0,en
