id,Name,Author,User Rating,Reviews,Price,Year,Genre,gb_categories,gb_avgRating,gb_ratingsCount,gb_publisher,gb_publishedDate,gb_pageCount,gb_language
41,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5,2017,Fiction,Juvenile Fiction,,,Henry Holt and Company (BYR),2011-11-15,17.0,en
42,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5,2019,Fiction,Juvenile Fiction,,,Henry Holt and Company (BYR),2011-11-15,17.0,en
43,"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,4.8,4505,0,2011,Fiction,Juvenile Fiction,,,Amulet Books,2011-11,224.0,en
44,Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Sasha O'Hara,4.6,10369,4,2016,Non Fiction,,,,,,,
45,Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,16244,18,2019,Non Fiction,Self-Help,4.5,2.0,David Goggins,2021-04-01,395.0,en
46,Capital in the Twenty First Century,Thomas Piketty,4.5,2884,28,2014,Non Fiction,Business & Economics,3.0,2.0,Harvard University Press,2014-03-10,696.0,en
47,Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,2010,Fiction,,,,,2015-04-13,341.0,en
48,Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,2011,Fiction,,,,,2015-04-13,341.0,en
49,Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,2012,Fiction,,,,,2015-04-13,341.0,en
50,Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Chrissy Teigen,4.7,4761,16,2016,Non Fiction,Cooking,,,Clarkson Potter,2016-02-23,242.0,en
51,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,2009,Non Fiction,Religion,5.0,3.0,David C Cook,2013-04-01,226.0,en
52,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,2010,Non Fiction,Religion,5.0,3.0,David C Cook,2013-04-01,226.0,en
53,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,2011,Non Fiction,Religion,5.0,3.0,David C Cook,2013-04-01,226.0,en
54,Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,4.3,6143,8,2018,Fiction,Fiction,5.0,3.0,Anchor,2013-06-11,457.0,en
55,Creative Haven Creative Cats Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,4022,4,2015,Non Fiction,,,,,,,
56,Creative Haven Owls Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,3871,5,2015,Non Fiction,Games & Activities,,,Courier Dover Publications,2015-07-15,37.0,en
57,Cutting for Stone,Abraham Verghese,4.6,4866,11,2010,Fiction,Fiction,,,Random House India,2012-05-17,560.0,en
58,Cutting for Stone,Abraham Verghese,4.6,4866,11,2011,Fiction,Fiction,,,Random House India,2012-05-17,560.0,en
59,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,4.8,1329,10,2013,Non Fiction,,,,,2018-04-09,218.0,en
60,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,4.4,4642,13,2013,Non Fiction,Psychology,5.0,1.0,Hachette UK,2013-10-01,184.0,en
61,Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,4.6,1541,4,2009,Fiction,,,,,,,
62,"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,4.3,1924,8,2010,Fiction,,,,,,,
63,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,4.2,2094,4,2011,Fiction,,,,,,,
64,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2015,Fiction,Juvenile Nonfiction,5.0,1.0,Simon and Schuster,2007-05-08,18.0,en
65,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2016,Fiction,Juvenile Nonfiction,5.0,1.0,Simon and Schuster,2007-05-08,18.0,en
66,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2017,Fiction,Juvenile Nonfiction,5.0,1.0,Simon and Schuster,2007-05-08,18.0,en
67,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2018,Fiction,Juvenile Nonfiction,5.0,1.0,Simon and Schuster,2007-05-08,18.0,en
68,Decision Points,George W. Bush,4.6,2137,17,2010,Non Fiction,,,,,2016-10,,en
69,"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,4.6,1651,15,2010,Non Fiction,Business & Economics,5.0,1.0,Hachette UK,2010-06-07,170.0,en
70,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679,105,2013,Non Fiction,Mental Disorders,,,,2013,0.0,en
71,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679,105,2014,Non Fiction,Mental Disorders,,,,2013,0.0,en
72,"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,4.8,6812,0,2013,Fiction,Juvenile Fiction,4.0,13.0,Abrams,2013-11-05,228.0,en
73,Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,4.8,3837,15,2009,Fiction,Best friends,,,,2024,0.0,en
74,Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,4.8,6540,22,2014,Fiction,,5.0,3.0,,2014-11-05,217.0,en
75,Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,4.6,7955,5,2019,Non Fiction,,,,,,,
76,Divergent,Veronica Roth,4.6,27098,15,2013,Fiction,Young Adult Fiction,4.5,342.0,Harper Collins,2011-05-03,419.0,en
77,Divergent,Veronica Roth,4.6,27098,15,2014,Fiction,Young Adult Fiction,4.5,342.0,Harper Collins,2011-05-03,419.0,en
78,Divergent / Insurgent,Veronica Roth,4.5,17684,6,2014,Fiction,Young Adult Fiction,5.0,4.0,Harper Collins,2013-10-22,873.0,en
79,"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Zhi Gang Sha,4.6,37,6,2009,Non Fiction,,,,,,,
80,Doctor Sleep: A Novel,Stephen King,4.7,15845,13,2013,Fiction,Fiction,,,Simon and Schuster,2013,672.0,en
81,"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,4.8,3181,12,2009,Fiction,,,,,,,
82,Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey,4.9,5062,6,2018,Fiction,Juvenile Fiction,4.0,7.0,Scholastic Inc.,2017-12-26,256.0,en
83,Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,4.9,4786,8,2017,Fiction,,,,,,,
84,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,7235,4,2018,Fiction,,,,,,,
85,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,7235,4,2019,Fiction,,,,,,,
86,Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,4.9,12619,8,2019,Fiction,Juvenile Fiction,4.0,17.0,Scholastic Inc.,2019-12-10,240.0,en
87,Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,4.9,9089,8,2019,Fiction,Juvenile Fiction,4.5,5.0,Scholastic Inc.,2019-08-13,240.0,en
88,Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,4.9,5470,6,2018,Fiction,,,,,,,
89,Double Down (Diary of a Wimpy Kid #11),Jeff Kinney,4.8,5118,20,2016,Fiction,Juvenile Fiction,4.5,35.0,Abrams,2016-11-01,228.0,en
